                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.778,                 3.2279,                 1.8106,                0.48401,                    0.4,                0.37212,                 0.1307,                 1.8213,                 4.0841,                 2.3343,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.6698,                  2.612,                 1.7688,                 0.6278,                0.35336,                0.47307,                0.18273,                 1.4478,                 2.5109,                 1.7588,             0.00017287,             0.00017287,             0.00017287
                      3,                 1.5101,                 2.0251,                 1.6994,                0.01819,                    0.6,                 0.0183,                 0.0061,                 2.4242,                  32.26,                 2.8483,             0.00025782,             0.00025782,             0.00025782
                      4,                 1.4238,                 1.7366,                 1.5864,                0.04744,                    0.4,                0.03275,                  0.011,                 2.2107,                 10.801,                 2.8473,             0.00033486,             0.00033486,             0.00033486
                      5,                 1.4664,                  1.794,                 1.7145,                0.01032,                    0.4,                0.01375,                0.00433,                 3.2309,                 36.481,                  3.848,             0.00040397,             0.00040397,             0.00040397
                      6,                 1.5597,                 1.5789,                 1.7047,                0.04513,                    0.8,                0.04903,                0.01562,                 2.1602,                 25.146,                 2.2642,             0.00046516,             0.00046516,             0.00046516
                      7,                  1.594,                  1.563,                 1.6771,                0.36774,                    0.8,                0.33778,                0.20377,                 2.1169,                 7.5941,                 3.8429,             0.00051843,             0.00051843,             0.00051843
                      8,                  1.596,                 1.7023,                 1.6755,                0.20486,                    0.4,                0.15555,                0.03798,                 3.0378,                 5.1031,                 3.6661,             0.00056378,             0.00056378,             0.00056378
                      9,                 1.5707,                 1.8229,                 1.6819,                0.07837,                    0.2,                0.03467,                0.00835,                 3.0842,                 3.7104,                 3.2894,             0.00060122,             0.00060122,             0.00060122
                     10,                 1.6576,                 1.7794,                 1.8126,                0.12639,                    0.8,                0.13821,                0.03603,                  2.384,                 38.768,                  4.025,             0.00063073,             0.00063073,             0.00063073
                     11,                 1.7283,                 2.0282,                 1.8908,                0.08333,                    0.2,                0.10215,                0.02704,                 2.3559,                 128.05,                 5.2374,             0.00065232,             0.00065232,             0.00065232
                     12,                 1.6359,                 1.8711,                 1.7732,                0.03509,                    0.4,                0.02192,                0.01559,                 2.6077,                 442.31,                 7.6482,             0.00066599,             0.00066599,             0.00066599
                     13,                  1.646,                 1.7312,                 1.8134,                0.01575,                    0.4,                0.01619,                 0.0027,                 3.2367,                 959.22,                 8.7386,             0.00067174,             0.00067174,             0.00067174
                     14,                 1.6187,                 1.7344,                 1.7518,                0.01436,                      1,                 0.0145,                0.00542,                 2.1462,                 792.02,                 9.6862,             0.00066958,             0.00066958,             0.00066958
                     15,                 1.6214,                 1.8704,                 1.7841,                0.04713,                    0.6,                0.06957,                0.02265,                 2.3735,                 58.589,                  4.508,             0.00065949,             0.00065949,             0.00065949
                     16,                 1.6466,                 1.8272,                 1.8409,                 0.0234,                    0.6,                0.02475,                 0.0098,                 2.5541,                 114.81,                  4.373,             0.00064148,             0.00064148,             0.00064148
                     17,                 1.7941,                 1.8976,                 1.9771,                0.07207,                    0.2,                0.02993,                 0.0141,                 3.1828,                 9.4402,                 6.4167,             0.00061555,             0.00061555,             0.00061555
                     18,                 1.5313,                 1.6038,                 1.8313,                0.03094,                    0.2,                0.01302,                0.00391,                 3.3893,                 19.618,                 6.5572,              0.0005817,              0.0005817,              0.0005817
                     19,                 1.5352,                 1.6551,                 1.7782,                 0.0041,                    0.4,                0.00282,                 0.0006,                 3.2899,                 161.27,                 5.2834,             0.00053994,             0.00053994,             0.00053994
                     20,                 1.4945,                 1.5368,                 1.7408,                0.00386,                    0.4,                0.00259,                0.00096,                 2.6027,                 124.38,                 3.8307,             0.00049025,             0.00049025,             0.00049025
                     21,                 1.5326,                 1.6111,                  1.812,                0.01212,                    0.4,                 0.0108,                0.00367,                 2.5711,                     73,                 3.4956,               0.000416,               0.000416,               0.000416
                     22,                 1.4263,                 1.4462,                 1.7073,                0.02489,                    0.4,                0.02212,                0.00858,                 1.9245,                 36.029,                 2.6282,               0.000416,               0.000416,               0.000416
                     23,                 1.3836,                 1.3862,                 1.6957,                0.05093,                    0.8,                0.04905,                0.01672,                 2.2789,                 24.714,                 3.0611,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.4204,                 1.4145,                  1.806,                0.44369,                    0.4,                0.41667,                0.14307,                 2.0646,                  7.829,                 2.3535,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.3273,                 1.2984,                  1.612,                0.73966,                0.57518,                0.49334,                 0.1668,                 1.9503,                 4.1113,                 2.2338,              0.0001784,              0.0001784,              0.0001784
